PROCESS,timestamp,LOTID,c_angle,e_angle
AD04B_SOI,2020-11-15 17:41:45,unknown_lot,88.99375996100002,89.66310683200001
AD04B_SOI,2020-11-21 05:05:09,unknown_lot,88.954426447,89.79699456700001
AD04B_SOI,2020-11-27 12:36:17,unknown_lot,88.955518499,89.37622047
AD04B_SOI,2020-11-27 13:22:28,unknown_lot,89.040892731,89.64504962
AD04B_SOI,2020-12-01 17:25:07,unknown_lot,89.26147451,89.443158151
AD04B_SOI,2020-12-08 16:25:01,unknown_lot,89.090323743,89.47242000600002
AD04B_SOI,2020-12-13 09:25:10,unknown_lot,89.26147451,89.61529072
AD04B_SOI,2020-12-17 00:00:00,58764.11,88.888598296,89.079806623
AD04B_SOI,2020-12-17 10:39:49,unknown_lot,88.888598296,89.079806623
AD04B_SOI,2020-12-27 00:00:00,58764.14,89.318846762,89.739613692
AD04B_SOI,2020-12-27 21:13:24,unknown_lot,89.318846762,89.739613692
EC03B_SOI,2020-12-30 00:00:00,58764.16,88.9664292485,89.435224824
AD04B_SOI,2020-12-30 00:00:00,58764.23,89.43359552,89.624853896
AD04B_SOI,2020-12-30 05:26:13,unknown_lot,89.43359552,89.624853896
EC03B_SOI,2020-12-30 15:39:17,unknown_lot,89.034700361,89.435224824
AD04B_SOI,2021-01-03 00:00:00,DV58764,89.26147451,89.50053462
AD04B_SOI,2021-01-03 10:05:53,unknown_lot,89.26147451,89.50053462
AD04B_SOI,2021-01-05 00:00:00,58764.21,89.25191261799999,89.557912181
EC03B_SOI,2021-01-05 00:00:00,58764.20,89.013913591,89.31957348700001
EC03B_SOI,2021-01-05 12:56:51,unknown_lot,89.013913591,89.31957348700001
AD04B_SOI,2021-01-05 21:13:00,unknown_lot,89.25191261799999,89.557912181
AD04B_SOI,2021-01-09 00:00:00,58764.23,89.012881046,89.37622047
AD04B_SOI,2021-01-09 10:57:08,unknown_lot,89.012881046,89.37622047
AD04B_SOI,2021-01-14 00:00:00,58764.25,88.955518499,88.955518499
AD04B_SOI,2021-01-14 15:25:35,unknown_lot,88.955518499,88.955518499
AD04B_SOI,2021-01-19 00:00:00,DV61074,89.19454220899998,89.50053462
AD04B_SOI,2021-01-19 17:16:39,unknown_lot,89.19454220899998,89.50053462
AD04B_SOI,2021-01-22 00:00:00,61074.15,89.070245661,89.26147451
AD04B_SOI,2021-01-22 17:56:18,unknown_lot,89.070245661,89.26147451
AD04B_SOI,2021-01-23 00:00:00,61074.01,89.25191261799999,89.37622047
AD04B_SOI,2021-01-23 12:20:16,unknown_lot,89.25191261799999,89.37622047
AD04B_SOI,2021-01-27 00:00:00,61074.22,89.25191261799999,89.567475206
AD04B_SOI,2021-01-27 17:53:57,unknown_lot,89.25191261799999,89.567475206
AD04B_SOI,2021-01-31 00:00:00,61074.16,89.19454220899998,89.86393954299999
AD04B_SOI,2021-01-31 01:27:30,unknown_lot,89.19454220899998,89.86393954299999
AD04B_SOI,2021-02-03 00:00:00,61074.8,88.70697416600002,89.37622047
AD04B_SOI,2021-02-03 07:48:33,unknown_lot,88.70697416600002,89.37622047
AD04B_SOI,2021-02-06 00:00:00,61074.11,88.64962459,89.309284616
AD04B_SOI,2021-02-06 19:27:03,unknown_lot,88.64962459,89.309284616
AD04B_SOI,2021-02-09 00:00:00,61074.13,89.079806623,89.61529072
AD04B_SOI,2021-02-09 18:06:05,unknown_lot,89.079806623,89.61529072
AD04B_SOI,2021-02-14 00:00:00,61074.24,89.260950919,89.806637847
AD04B_SOI,2021-02-14 01:53:43,unknown_lot,89.260950919,89.806637847
EC03B_SOI,2021-03-13 00:00:00,61074.02,89.442755849,89.61529072
EC03B_SOI,2021-03-13 05:07:50,unknown_lot,89.442755849,89.61529072
AD04B_SOI,2021-03-15 00:00:00,61074.25,89.262258587,89.43420752700001
AD04B_SOI,2021-03-15 17:10:07,unknown_lot,89.262258587,89.43420752700001
AD04B_SOI,2021-03-21 00:00:00,61074.4,89.13808183,89.376889839
EC03B_SOI,2021-03-21 00:00:00,61074.03,89.31957348700001,89.50107970200001
AD04B_SOI,2021-03-21 17:34:00,61074.4,89.13808183,89.37688984
AD04B_SOI,2021-03-21 17:34:41,unknown_lot,89.13808183,89.376889839
EC03B_SOI,2021-03-21 17:37:00,61074.03,89.31957349,89.5010797
EC03B_SOI,2021-03-21 17:37:31,unknown_lot,89.31957348700001,89.50107970200001
EC03B_SOI,2021-03-26 00:00:00,61074.05,89.43359552,89.79699456700001
EC03B_SOI,2021-03-26 02:38:00,61074.05,89.43359552,89.79699457
EC03B_SOI,2021-03-26 02:38:18,unknown_lot,89.43359552,89.79699456700001
EC03B_SOI,2021-03-28 00:00:00,61074.08,89.25191261799999,89.624853896
EC03B_SOI,2021-03-28 21:31:00,61074.08,89.25191262,89.6248539
AD05B_SOI,2021-03-30 00:00:00,61074.06,88.343810176,88.773885385
AD05B_SOI,2021-03-30 13:09:00,61074.06,88.34381018,88.77388539
AD05B_SOI,2021-03-31 00:00:00,61074.10,88.898158136,88.898158136
EC03B_SOI,2021-03-31 00:00:00,60174.09,88.88975503299999,89.3100209
EC03B_SOI,2021-03-31 13:54:00,60174.09,88.88975503,89.3100209
AD05B_SOI,2021-03-31 14:57:00,61074.1,88.89815814,88.89815814
AD05B_SOI,2021-04-04 00:00:00,61074.18,89.013913591,89.12853011
AD05B_SOI,2021-04-04 11:21:00,61074.18,89.01391359,89.12853011
AD05B_SOI,2021-04-08 00:00:00,61074.19,89.079806623,89.070245661
AD05B_SOI,2021-04-08 16:56:00,61074.19,89.07980662,89.07024566
AD05B_SOI,2021-04-16 00:00:00,61074.20,89.012881046,89.070245661
AD05B_SOI,2021-04-16 14:37:00,61074.2,89.01288105,89.07024566
